building_type,building_id,reward_run1,reward_run2,reward_run3,reward_mean
RetailStandalone,2801,-51382.3,-51382.3,-51382.3,-51382.3
RetailStandalone,2802,-27820.0,-27820.0,-27820.0,-27820.0
RetailStandalone,2803,-27934.2,-27934.2,-27934.2,-27934.2
RetailStandalone,2804,-17654.2,-17654.2,-17654.2,-17654.2
RetailStandalone,2805,-62835.3,-62835.3,-62835.3,-62835.3
RestaurantFastFood,3801,-147320.7,-147320.7,-147320.7,-147320.7
RestaurantFastFood,3802,-157352.3,-157352.3,-157352.3,-157352.3
RestaurantFastFood,3803,-6143.7,-6143.7,-6143.7,-6143.7
RestaurantFastFood,3804,-6388.3,-6388.3,-6388.3,-6388.3
RestaurantFastFood,3805,-7946.8,-7946.8,-7946.8,-7946.8
OfficeMedium,4801,-37310.1,-37310.1,-37310.1,-37310.1
OfficeMedium,4802,-58458.9,-58458.9,-58458.9,-58458.9
OfficeMedium,4803,-29913.6,-29913.6,-29913.6,-29913.6
OfficeMedium,4804,-84102.1,-84102.1,-84102.1,-84102.1
OfficeMedium,4805,-34458.3,-34458.3,-34458.3,-34458.3
OfficeSmall,5801,-19373.6,-19373.6,-19373.6,-19373.6
OfficeSmall,5802,-55299.7,-55299.7,-55299.7,-55299.7
OfficeSmall,5803,-108319.1,-108319.1,-108319.1,-108319.1
OfficeSmall,5804,-13861.0,-13861.0,-13861.0,-13861.0
OfficeSmall,5805,-65326.0,-65326.0,-65326.0,-65326.0
